SourceFile,File:FileSize,PDF:CreateDate,PDF:PageCount
10.7717%2Fpeerj.815@Supplemental_Table_S3.pdf,494 kB,2015:02:04 17:43:19+00:00,2
10.7717%2Fpeerj.815@Supplemental_Table_S4.pdf,544 kB,2015:02:04 17:49:25+00:00,2
10.7717%2Fpeerj.863@SMALE_et_al_PeerJ_2015_Table_S2.pdf,214 kB,2015:02:26 18:19:47+00:00,2
10.7717%2Fpeerj.884@Supplementary_Information.pdf,133 kB,2015:03:03 09:35:49-05:00,2
10.7717%2Fpeerj.900@Supplemental_Table_S1.pdf,87 kB,2015:03:24 19:36:23-05:00,2
10.7717%2Fpeerj.910@PRISMA_Checklist.pdf,197 kB,2014:12:13 21:16:06+08:00,2
10.7717%2Fpeerj.920@S3-Variable_selection.pdf,97 kB,2015:02:02 11:42:13+13:00,2
10.7717%2Fpeerj.976@FigS1.pdf,147 kB,2015:03:23 14:28:47-04:00,2
10.7717%2Fpeerj.985@VirSorter_step_by_step_merged.pdf,559 kB,2015:05:04 12:51:02-07:00,2
10.7717%2Fpeerj.1000@OsiriXpic.pdf,419 kB,2015:05:14 04:19:35Z,1
10.7717%2Fpeerj.1001@FigS1_HipLAR_MAs1_(2).pdf,212 kB,2015:05:29 10:26:27+01:00,1
10.7717%2Fpeerj.1001@FigS2_HipLAR_MAs2_(2).pdf,176 kB,2015:05:29 10:28:16+01:00,1
10.7717%2Fpeerj.1001@FigS3_HipABAD_MAs1_(2).pdf,204 kB,2015:05:29 10:28:44+01:00,1
10.7717%2Fpeerj.1001@FigS4_HipABAD_MAs2_(2).pdf,175 kB,2015:05:29 10:29:29+01:00,1
10.7717%2Fpeerj.1001@FigS5_walkkinematics_Updated.pdf,267 kB,2015:05:14 10:23:47+01:00,1
10.7717%2Fpeerj.1015@APPENDIX_2.pdf,63 kB,2015:02:24 18:07:47Z,1
10.7717%2Fpeerj.1017@Figure_S10.pdf,213 kB,2015:04:30 15:27:12Z,1
10.7717%2Fpeerj.1017@Figure_S11.pdf,198 kB,2015:04:30 15:27:28Z,1
10.7717%2Fpeerj.1017@Figure_S12.pdf,187 kB,2015:04:30 15:27:45Z,1
10.7717%2Fpeerj.1017@Figure_S13.pdf,177 kB,2015:04:30 15:28:01Z,1
10.7717%2Fpeerj.1017@Figure_S14.pdf,164 kB,2015:04:30 15:28:14Z,1
10.7717%2Fpeerj.1017@Figure_S15.pdf,163 kB,2015:04:30 15:28:36Z,1
10.7717%2Fpeerj.1017@Figure_S16.pdf,190 kB,2015:04:30 15:28:53Z,1
10.7717%2Fpeerj.1017@Figure_S17.pdf,118 kB,2014:12:16 03:33:08Z,1
10.7717%2Fpeerj.1017@Figure_S18.pdf,202 kB,2015:04:29 14:20:22Z,1
10.7717%2Fpeerj.1017@Figure_S19.pdf,124 kB,2014:12:03 22:54:24Z,1
10.7717%2Fpeerj.1017@Figure_S1.pdf,108 kB,2014:12:18 18:02:48Z,1
10.7717%2Fpeerj.1017@Figure_S20.pdf,125 kB,2014:12:03 22:54:37Z,1
10.7717%2Fpeerj.1017@Figure_S21.pdf,119 kB,2014:12:03 22:54:53Z,1
10.7717%2Fpeerj.1017@Figure_S22.pdf,116 kB,2014:12:04 16:21:18Z,1
10.7717%2Fpeerj.1017@Figure_S23.pdf,124 kB,2014:12:04 16:21:36Z,1
10.7717%2Fpeerj.1017@Figure_S24.pdf,170 kB,2014:12:04 16:22:51Z,1
10.7717%2Fpeerj.1017@Figure_S2.pdf,63 kB,2014:12:03 22:49:50Z,1
10.7717%2Fpeerj.1017@Figure_S3.pdf,366 kB,2014:12:16 03:28:05Z,1
10.7717%2Fpeerj.1017@Figure_S4.pdf,103 kB,2015:04:28 16:07:37Z,1
10.7717%2Fpeerj.1017@Figure_S5.pdf,183 kB,2015:04:30 15:25:41Z,1
10.7717%2Fpeerj.1017@Figure_S6.pdf,205 kB,2015:04:30 15:25:57Z,1
10.7717%2Fpeerj.1017@Figure_S7.pdf,181 kB,2015:04:30 15:26:12Z,1
10.7717%2Fpeerj.1017@Figure_S8.pdf,224 kB,2015:04:30 15:26:34Z,1
10.7717%2Fpeerj.1017@Figure_S9.pdf,198 kB,2015:04:30 15:26:57Z,1
10.7717%2Fpeerj.1028@Supplemental_figure_S1.pdf,177 kB,2015:02:09 20:06:32Z,1
10.7717%2Fpeerj.1029@FigS1.pdf,659 kB,,1
10.7717%2Fpeerj.1029@FigS2.pdf,609 kB,,1
10.7717%2Fpeerj.1029@FigS3.pdf,1064 kB,,1
10.7717%2Fpeerj.1036@Seiffert_et_al_Caenopithecus_Figure_S1_discriminant_functions.pdf,177 kB,2015:03:08 07:23:25-05:00,1
10.7717%2Fpeerj.1038@ul_sens_fmri_amp_anova_table.pdf,43 kB,2015:01:15 11:02:23+11:00,1
10.7717%2Fpeerj.1038@ul_sens_resid.pdf,10 kB,,1
10.7717%2Fpeerj.1038@ul_sens_task.pdf,14 kB,2015:03:28 15:52:04+11:00,1
10.7717%2Fpeerj.1042@01632e_02_VanHorn_Approval_Letter.pdf,140 kB,2015:04:02 11:27:03-04:00,1
"10.7717%2Fpeerj.1056@Almestrand_et_al._Supplementary_figure_1,_Gating_strategy_for_CD4.pdf",111 kB,2015:05:20 10:39:54+02:00,1
10.7717%2Fpeerj.1066@Supplementary_Fig_1.pdf,129 kB,2015:05:03 12:48:48+05:30,1
10.7717%2Fpeerj.1066@Supplementary_Fig_2.pdf,276 kB,2015:05:03 12:50:11+05:30,1
10.7717%2Fpeerj.1071@Supplemental_Figure_S1.pdf,115 kB,2015:05:23 11:21:37+09:00,1
10.7717%2Fpeerj.1071@Supplemental_Figure_S2.pdf,45 kB,2015:05:23 11:21:37+09:00,1
10.7717%2Fpeerj.1071@Supplemental_Table_S1.pdf,28 kB,2015:05:23 11:21:37+09:00,1
10.7717%2Fpeerj.1071@Supplemental_Table_S2.pdf,31 kB,2015:05:23 11:21:37+09:00,1
10.7717%2Fpeerj.1071@Supplemental_Table_S4.pdf,24 kB,2015:05:23 11:21:37+09:00,1
10.7717%2Fpeerj.1071@Supplemental_Table_S5.pdf,45 kB,2015:05:23 11:21:37+09:00,1
10.7717%2Fpeerj.1078@AnnexI.pdf,26 MB,2014:12:15 01:09:10Z,1
10.7717%2Fpeerj.1092@Fig_S1.pdf,839 kB,2015:06:17 07:53:16+11:00,1
10.7717%2Fpeerj.1092@Fig_S2.pdf,52 kB,2015:06:18 10:00:28+10:00,1
10.7717%2Fpeerj.1092@Fig_S3.pdf,37 kB,2015:06:18 10:01:00+10:00,1
10.7717%2Fpeerj.1092@Fig_S4.pdf,62 kB,2015:06:18 10:01:18+10:00,1
10.7717%2Fpeerj.1092@Fig_S5.pdf,224 kB,2015:06:18 10:01:36+10:00,1
10.7717%2Fpeerj.1092@Fig_S6.pdf,54 kB,2015:06:18 10:01:51+10:00,1
10.7717%2Fpeerj.1093@Garudimimus.pdf,5.3 MB,2015:05:12 10:55:47+01:00,1
10.7717%2Fpeerj.1093@Ornithomimus.pdf,13 MB,2015:05:12 10:55:47+01:00,1
10.7717%2Fpeerj.1093@Struthiomimus.pdf,11 MB,2015:05:12 10:55:47+01:00,1
10.7717%2Fpeerj.1095@Supplemental_Figure_S1.pdf,2.6 MB,,1
10.7717%2Fpeerj.1095@Supplemental_Figure_S3.pdf,1335 kB,,1
10.7717%2Fpeerj.1095@Supplemental_Figure_S4.pdf,1293 kB,,1
10.7717%2Fpeerj.1095@Supplemental_Figure_S5.pdf,1520 kB,,1
10.7717%2Fpeerj.1116@FigureS1.pdf,33 kB,2015:04:23 17:48:01Z,1
10.7717%2Fpeerj.1116@Figure.S2.pdf,106 kB,2015:06:11 18:15:43Z,1
10.7717%2Fpeerj.1116@Figure.S3.pdf,280 kB,2015:05:30 05:24:32Z,1
10.7717%2Fpeerj.1116@Figure.S4.pdf,33 kB,2015:08:20 21:37:25Z,1
10.7717%2Fpeerj.1117@Supplementary_Figure_S1.pdf,212 kB,2015:04:23 01:00:16+08:00,1
10.7717%2Fpeerj.1117@Supplementary_Figure_S2.pdf,266 kB,2015:06:24 16:14:16+08:00,1
10.7717%2Fpeerj.111@sm-fig-01.pdf,56 kB,2013:07:02 12:51:43Z,1
10.7717%2Fpeerj.111@sm-fig-02.pdf,47 kB,2013:07:02 12:58:02Z,1
10.7717%2Fpeerj.111@sm-fig-03.pdf,39 kB,2013:07:02 13:02:57Z,1
10.7717%2Fpeerj.111@sm-tab-01.pdf,19 kB,2013:07:02 13:13:02Z,1
10.7717%2Fpeerj.111@sm-tab-02.pdf,20 kB,2013:07:02 13:13:39Z,1
10.7717%2Fpeerj.1140@suppl.fig1.pdf,324 kB,2014:10:20 17:29:54-04:00,1
10.7717%2Fpeerj.1140@suppl.fig2.pdf,6.9 kB,2015:03:20 13:47:04,1
10.7717%2Fpeerj.114@Supplemental_Figure_S10.pdf,114 kB,2013:07:03 10:02:53-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S1.pdf,121 kB,2013:07:03 09:47:41-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S2.pdf,106 kB,2013:07:03 09:48:19-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S4.pdf,121 kB,2013:07:03 09:51:31-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S5.pdf,121 kB,2013:07:03 09:52:13-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S6.pdf,120 kB,2013:07:03 09:55:44-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S7.pdf,284 kB,2013:07:03 09:56:46-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S8.pdf,292 kB,2013:07:03 09:59:58-04:00,1
10.7717%2Fpeerj.114@Supplemental_Figure_S9.pdf,113 kB,2013:07:03 10:01:20-04:00,1
10.7717%2Fpeerj.114@Supplmental_Figure_S3.pdf,119 kB,2013:07:03 09:49:22-04:00,1
10.7717%2Fpeerj.1155@Fgure_S3.pdf,96 kB,2015:07:03 19:43:19+08:00,1
10.7717%2Fpeerj.1155@Figure_S1.pdf,101 kB,2015:07:03 18:56:29+08:00,1
10.7717%2Fpeerj.1155@Figure_S2.pdf,501 kB,2015:07:03 19:22:55+09:00,1
10.7717%2Fpeerj.1159@PeerJ_FigS1-PicsOnly.pdf,686 kB,2015:07:13 05:16:25Z,1
10.7717%2Fpeerj.1161@Appendix_2.pdf,31 kB,2015:07:15 10:33:45Z,1
10.7717%2Fpeerj.1163@s_Figure1.pdf,203 kB,2015:07:04 23:31:35-04:00,1
10.7717%2Fpeerj.1163@s_Figure2.pdf,193 kB,2015:07:04 23:32:01-04:00,1
10.7717%2Fpeerj.1176@Supplemental_fig_1.pdf,4.0 kB,2015:07:18 13:41:30,1
10.7717%2Fpeerj.1176@Supplemental_fig_2.pdf,2.6 kB,2015:07:18 13:43:55,1
10.7717%2Fpeerj.1177@Blake_Loiselle_SF1.pdf,134 kB,2015:06:24 11:45:36-04:00,1
10.7717%2Fpeerj.1177@Blake_Loiselle_SF2.pdf,117 kB,2015:07:20 10:21:58-04:00,1
10.7717%2Fpeerj.1177@Blake_Loiselle_SF3.pdf,93 kB,2015:06:24 11:42:46-04:00,1
10.7717%2Fpeerj.1190@FigS1.pdf,198 kB,2014:11:12 23:29:44Z,1
10.7717%2Fpeerj.1190@FigS2.pdf,175 kB,2014:12:27 19:42:04Z,1
10.7717%2Fpeerj.1190@FigS3.pdf,91 kB,2014:12:28 04:23:30Z,1
10.7717%2Fpeerj.1212@07-07_Lee_Smee_Approval.pdf,376 kB,2013:02:08 17:18:40-06:00,1
10.7717%2Fpeerj.1223@Supplemental_Figure_S1_Saureus_plasmid.pdf,856 kB,2015:06:03 17:05:31+10:00,1
10.7717%2Fpeerj.1223@Supplemental_Figure_S2_Stenotrophomonas_tree.pdf,97 kB,2015:08:05 11:05:39+11:00,1
10.7717%2Fpeerj.1223@Supplemental_Figure_S3_Other_CF_species_alignment.pdf,1277 kB,2015:06:03 17:29:07+10:00,1
10.7717%2Fpeerj.1223@Supplemental_Figure_S4_Enterobacter_cassette.pdf,1020 kB,2015:06:03 17:31:44+10:00,1
10.7717%2Fpeerj.1223@Supplemental_Figure_S5_Haemophilus_tree.pdf,104 kB,2015:08:05 11:04:56+11:00,1
10.7717%2Fpeerj.1224@Supplementary2.pdf,47 kB,2014:10:01 16:20:52+01:00,1
10.7717%2Fpeerj.1225@Supplementary_figure_1.pdf,531 kB,2015:07:21 10:10:26Z,1
10.7717%2Fpeerj.1225@Supplementary_figure_2.pdf,119 kB,2015:07:21 10:11:28Z,1
10.7717%2Fpeerj.1225@Supplementary_table_2_v2.pdf,68 kB,2015:07:21 10:13:15Z,1
10.7717%2Fpeerj.1225@Supplementary_table_4_v2.pdf,77 kB,2015:07:21 10:15:01Z,1
10.7717%2Fpeerj.1229@CTL_lysis_activity_of_the_CTLs_from_PPD-_donors.pdf,55 kB,2015:04:13 22:48:18+08:00,1
"10.7717%2Fpeerj.1235@Figure_5_Growth_small,_medium,_large.pdf",76 kB,2015:08:13 11:10:14Z,1
10.7717%2Fpeerj.1241@Fig_S1.pdf,83 kB,2015:08:20 00:44:59-03:00,1
10.7717%2Fpeerj.1241@Fig_S2.pdf,36 kB,2015:08:20 00:45:47-03:00,1
10.7717%2Fpeerj.1241@Table_S2.pdf,30 kB,2015:08:20 00:50:56-03:00,1
10.7717%2Fpeerj.1241@Table_S4.pdf,45 kB,2015:08:20 00:53:23-03:00,1
10.7717%2Fpeerj.1258@FigureS1.pdf,478 kB,2015:01:22 15:42:12-08:00,1
10.7717%2Fpeerj.1258@FigureS2.pdf,13 kB,2014:01:05 16:06:47,1
10.7717%2Fpeerj.1258@FigureS3.pdf,5.4 kB,2014:01:17 17:48:47,1
10.7717%2Fpeerj.1258@FigureS4.pdf,5.4 kB,2014:12:16 15:30:11,1
10.7717%2Fpeerj.1258@Meadow_Microbial_Cloud_Supplementary_Table_1.pdf,62 kB,2015:09:15 11:49:12-07:00,1
10.7717%2Fpeerj.1259@Suppl._Fig_1.pdf,851 kB,2015:08:21 00:05:43Z,1
10.7717%2Fpeerj.1259@Suppl._Fig_2.pdf,260 kB,2015:08:19 20:08:43Z,1
10.7717%2Fpeerj.1267@Fig_1.pdf,45 kB,2015:07:26 12:26:08+08:00,1
10.7717%2Fpeerj.1267@Fig_2.pdf,200 kB,2015:08:13 09:15:39+08:00,1
10.7717%2Fpeerj.1267@Fig_3.pdf,132 kB,2015:08:13 09:19:12+08:00,1
10.7717%2Fpeerj.1268@Supp2-_PRISMA_2009_Flow_Diagram_Charbonnier.pdf,230 kB,2015:06:03 07:02:59-04:00,1
10.7717%2Fpeerj.1269@figureS1.pdf,45 kB,,1
10.7717%2Fpeerj.1269@figureS2.pdf,149 kB,,1
10.7717%2Fpeerj.1294@ostrich_small.pdf,9.2 MB,2015:07:12 10:10:37+01:00,1
10.7717%2Fpeerj.1295@Fig.A1.pdf,67 kB,2015:08:19 21:26:59+02:00,1
10.7717%2Fpeerj.1295@Fig.A2.pdf,281 kB,2015:08:19 21:26:59+02:00,1
10.7717%2Fpeerj.1295@Fig.A3.pdf,276 kB,2015:08:19 21:26:59+02:00,1
10.7717%2Fpeerj.1295@Fig.A4.pdf,237 kB,2015:08:19 21:26:59+02:00,1
10.7717%2Fpeerj.1295@Fig.A5.pdf,253 kB,2015:08:19 21:26:59+02:00,1
10.7717%2Fpeerj.1313@Figure_S1.pdf,379 kB,2015:08:12 15:06:34-10:00,1
10.7717%2Fpeerj.1313@Figure_S2.pdf,442 kB,2015:08:12 15:06:55-10:00,1
10.7717%2Fpeerj.1318@S6__Figure.pdf,1491 kB,2015:09:16 15:28:51+07:00,1
10.7717%2Fpeerj.1318@S8_Figure.pdf,47 kB,2015:03:05 06:08:29Z,1
10.7717%2Fpeerj.1326@reproduction_&_growth(3-17)_raw_data.pdf,28 kB,2015:03:17 11:12:40+08:00,1
10.7717%2Fpeerj.1340@mparker.peerjppr.figureS3_.pdf,139 kB,2015:10:03 17:18:30-04:00,1
10.7717%2Fpeerj.1346@Suppl_Inf_2_Behavioural_classification.pdf,7.5 kB,2015:08:17 11:03:53Z,1
10.7717%2Fpeerj.1346@Suppl_Inf_3_Recipient_reserve_characteristics.pdf,94 kB,,1
10.7717%2Fpeerj.1346@Suppl_Inf_9_Potential_cheetah_recipient_areas_without_site_fidelity.pdf,22 kB,,1
10.7717%2Fpeerj.1353@Supplemental_figure_S1.pdf,182 kB,2015:08:11 14:58:37+02:00,1
10.7717%2Fpeerj.1353@Supplemental_table_S1.pdf,86 kB,2015:08:11 15:01:58+02:00,1
10.7717%2Fpeerj.1356@Fig._S2.pdf,704 kB,2015:04:10 11:02:18+10:00,1
10.7717%2Fpeerj.1373@Figure_S1.pdf,90 kB,2015:10:01 00:48:59Z,1
"10.7717%2Fpeerj.1376@3,30-di-O-methyl_ellagic_acid_(data_not_previously_shown).pdf",6.5 kB,2013:05:12 16:29:52+08:00,1
10.7717%2Fpeerj.1376@Jasmonic_Acid_or_dihydroxymellein_(data_not_previously_shown).pdf,6.3 kB,2013:06:26 10:27:42+08:00,1
10.7717%2Fpeerj.1390@FigureS1.pdf,229 kB,2015:07:20 14:25:44-07:00,1
10.7717%2Fpeerj.1390@FigureS2.pdf,466 kB,2015:07:20 14:31:15-07:00,1
10.7717%2Fpeerj.1400@SUPP_FIGv2.pdf,240 kB,2015:10:20 22:20:33-07:00,1
10.7717%2Fpeerj.1403@TableS1.pdf,56 kB,2015:07:20 22:07:50Z,1
10.7717%2Fpeerj.1403@TableS2.pdf,43 kB,2015:07:20 22:08:20Z,1
10.7717%2Fpeerj.1403@TableS3.pdf,37 kB,2015:07:20 22:08:48Z,1
10.7717%2Fpeerj.1403@TableS4.pdf,38 kB,2015:07:20 22:09:19Z,1
10.7717%2Fpeerj.1403@TableS5.pdf,23 kB,2015:10:22 18:29:13Z,1
10.7717%2Fpeerj.1409@eggs_by_shrimpsize_resid.pdf,5.1 kB,2015:09:29 12:51:07,1
10.7717%2Fpeerj.1418@FigureS1.pdf,102 kB,2015:08:05 14:22:27Z,1
10.7717%2Fpeerj.145@sm-01.pdf,22 kB,2013:08:05 14:27:17Z,1
10.7717%2Fpeerj.145@sm-02.pdf,42 kB,2013:08:05 14:27:28Z,1
10.7717%2Fpeerj.145@sm-03.pdf,28 kB,2013:08:05 14:27:34Z,1
10.7717%2Fpeerj.171@Supp_S4.pdf,61 kB,2013:08:09 20:43:21Z,1
10.7717%2Fpeerj.179@Fig_S1_new.pdf,599 kB,2013:09:11 17:23:56-08:00,1
10.7717%2Fpeerj.179@Fig_S2.pdf,99 kB,2013:09:11 17:24:46-08:00,1
10.7717%2Fpeerj.182@SuppFigS1.pdf,2.9 MB,2013:04:25 13:10:16-05:00,1
10.7717%2Fpeerj.182@SuppFigS2.pdf,1738 kB,2013:04:25 13:38:05-05:00,1
10.7717%2Fpeerj.182@SuppFigS3.pdf,12 MB,,1
10.7717%2Fpeerj.182@SuppFigS4.pdf,6.4 MB,,1
10.7717%2Fpeerj.182@SuppFigS5.pdf,7.7 MB,,1
10.7717%2Fpeerj.230@Fig_S1.pdf,34 kB,2013:11:13 11:46:56+09:00,1
10.7717%2Fpeerj.230@Fig_S2.pdf,69 kB,2013:11:13 11:47:36+09:00,1
10.7717%2Fpeerj.230@Fig_S3.pdf,76 kB,2013:11:13 11:48:07+09:00,1
10.7717%2Fpeerj.230@Fig_S4.pdf,36 kB,2013:11:13 11:48:36+09:00,1
10.7717%2Fpeerj.230@Table_S1.pdf,20 kB,2013:11:12 10:21:21+09:00,1
10.7717%2Fpeerj.230@Table_S2.pdf,20 kB,2013:11:12 10:21:21+09:00,1
10.7717%2Fpeerj.23@PeerJ_SF_1.pdf,22 kB,2013:01:05 22:36:49Z,1
10.7717%2Fpeerj.264@Supplemental_Table_S10.pdf,842 kB,2013:05:01 16:05:26-05:00,1
10.7717%2Fpeerj.264@Supplemental_Table_S11.pdf,1597 kB,2013:05:09 14:00:42-05:00,1
10.7717%2Fpeerj.264@Supplemental_Table_S12.pdf,265 kB,2013:05:03 13:56:26-05:00,1
10.7717%2Fpeerj.264@Supplemental_Table_S13.pdf,589 kB,2013:05:02 10:43:33-05:00,1
10.7717%2Fpeerj.264@Supplemental_Table_S6.pdf,1014 kB,2013:05:23 12:54:34-05:00,1
10.7717%2Fpeerj.264@Supplemental_Table_S7.pdf,2010 kB,2013:08:27 10:29:07-05:00,1
10.7717%2Fpeerj.264@Supplemental_Table_S8.pdf,764 kB,2013:05:23 12:56:33-05:00,1
10.7717%2Fpeerj.264@Supplemental_Table_S9.pdf,164 kB,2013:08:20 19:56:06Z,1
10.7717%2Fpeerj.283@Supplemental_File_1.pdf,72 kB,2013:10:24 14:51:23+01:00,1
10.7717%2Fpeerj.295@Meijer_SI_Table_1.pdf,68 kB,2014:02:07 10:46:07Z,1
10.7717%2Fpeerj.299@Supplementary_Information_3.pdf,24 kB,2013:12:17 11:44:59Z,1
10.7717%2Fpeerj.327@FigureS1a.pdf,462 kB,2013:04:03 03:43:48Z,1
10.7717%2Fpeerj.327@FIgureS1b.pdf,444 kB,2013:04:03 03:44:21Z,1
10.7717%2Fpeerj.332@Figure_S1.pdf,428 kB,2014:01:24 09:08:29-07:00,1
10.7717%2Fpeerj.344@S2_raw_behaviours.pdf,38 kB,2014:03:16 14:06:31Z,1
10.7717%2Fpeerj.344@S3_comparing_unique_behaviours.pdf,106 kB,2014:03:16 15:30:28Z,1
10.7717%2Fpeerj.347@UWO-VPC-2013.001-Allosaur_tooth_rooted.pdf,5.0 MB,,1
10.7717%2Fpeerj.347@UWO-VPC-2013.002-Allosaur_tooth_shed.pdf,2.4 MB,,1
10.7717%2Fpeerj.347@UWO-VPC-2013.003-Camarasaur_tooth_rooted.pdf,10.0 MB,,1
10.7717%2Fpeerj.347@UWO-VPC-2013.004-Camarasaur_tooth_shed.pdf,4.8 MB,,1
10.7717%2Fpeerj.360@PescottStewart_Supplemental_material_2.pdf,86 kB,2012:03:25 13:55:53,1
10.7717%2Fpeerj.362@Supplement_1.pdf,77 kB,2014:04:02 12:37:51+02:00,1
10.7717%2Fpeerj.374@GTS_permit_for_field_researches.pdf,46 kB,2014:03:20 02:49:41Z,1
10.7717%2Fpeerj.421@Figure_S1.pdf,47 kB,2014:04:24 05:51:17Z,1
10.7717%2Fpeerj.421@Figure_S2.pdf,47 kB,2014:04:24 05:51:54Z,1
10.7717%2Fpeerj.421@Figure_S3.pdf,56 kB,2014:05:18 04:38:27Z,1
10.7717%2Fpeerj.427@peerj-review-1719-Supplemental_Table_S1_corrected.pdf,82 kB,2014:06:13 00:43:42Z,1
10.7717%2Fpeerj.427@peerj-review-1719-Supplemental_Table_S2_corrected.pdf,68 kB,2014:06:13 00:40:41Z,1
10.7717%2Fpeerj.427@peerj-review-1719-Supplemental__Table_S3_corrected.pdf,51 kB,2014:06:13 00:37:25Z,1
10.7717%2Fpeerj.427@peerj-review-1719-Supplemental__Table_S4_corrected.pdf,84 kB,2014:06:13 00:46:56Z,1
10.7717%2Fpeerj.427@peerj-review-1719-Supplemental_Table_S5_corrected.pdf,69 kB,2014:06:13 00:50:54Z,1
10.7717%2Fpeerj.444@JENKINS_consent.pdf,38 kB,2011:07:11 13:11:45Z,1
10.7717%2Fpeerj.448@Suppl_File_S1.pdf,9.5 MB,2014:03:26 15:24:26Z,1
10.7717%2Fpeerj.457@Figure_S1.pdf,2.4 MB,2013:12:11 15:52:27-02:00,1
10.7717%2Fpeerj.458@supplemental_file_1.pdf,5.1 MB,2014:06:02 23:04:52+02:00,1
10.7717%2Fpeerj.458@supplemental_file_2.pdf,6.6 MB,2014:06:02 10:53:22+02:00,1
10.7717%2Fpeerj.458@supplemental_file_3.pdf,7.3 MB,2014:06:02 23:07:13+02:00,1
10.7717%2Fpeerj.458@supplemental_file_4.pdf,8.1 MB,2014:06:02 23:08:01+02:00,1
10.7717%2Fpeerj.479@Supplemental_Figure_1.pdf,270 kB,2014:06:14 00:29:13Z,1
10.7717%2Fpeerj.47@tableS1.pdf,71 kB,2013:02:12 22:33:08Z,1
10.7717%2Fpeerj.47@TableS2.pdf,65 kB,2013:02:12 22:33:49Z,1
10.7717%2Fpeerj.47@TableS3.pdf,41 kB,2013:02:12 22:34:20Z,1
10.7717%2Fpeerj.47@tableS5.pdf,67 kB,2013:02:12 22:36:33Z,1
10.7717%2Fpeerj.480@S4_Questionnaire_to_parents_at_16_years.pdf,314 kB,2014:03:25 09:54:36+02:00,1
10.7717%2Fpeerj.480@S6_plans_at_16_years_of_age.pdf,302 kB,2014:03:24 16:29:30+02:00,1
10.7717%2Fpeerj.494@FigS1.pdf,117 kB,2014:04:22 13:51:32+13:00,1
10.7717%2Fpeerj.504@Supplemental_Table_S2.pdf,56 kB,2014:05:23 04:03:40Z,1
10.7717%2Fpeerj.520@Supplemental_Figure_3.pdf,62 kB,2014:06:18 07:20:40-07:00,1
10.7717%2Fpeerj.564@Supplement_2_CYB_Tree.pdf,985 kB,2014:08:11 12:45:16-04:00,1
10.7717%2Fpeerj.574@ESM1.pdf,150 kB,2012:03:07 23:11:07-08:00,1
10.7717%2Fpeerj.581@Warnock_Exemption_5-1-09.pdf,48 kB,2009:05:01 16:56:50-07:00,1
10.7717%2Fpeerj.582@SupplTable1.pdf,84 kB,2014:04:27 00:25:04Z,1
10.7717%2Fpeerj.582@SupplTable3.pdf,551 kB,2014:04:27 00:26:25Z,1
10.7717%2Fpeerj.590@SynergyFlowData.pdf,149 kB,2014:07:04 12:15:19,1
10.7717%2Fpeerj.593@Supplementary_Table1.pdf,40 kB,2014:08:28 15:25:32+02:00,1
10.7717%2Fpeerj.593@Supplementary_Table2.pdf,38 kB,2014:08:28 15:23:20+02:00,1
10.7717%2Fpeerj.593@Supplementary_Table3.pdf,39 kB,2014:08:28 15:22:51+02:00,1
10.7717%2Fpeerj.59@Table S2.pdf,5.4 kB,2013:01:22 13:46:00+01:00,1
10.7717%2Fpeerj.610@Supplemental_Table_S1.pdf,110 kB,2014:03:05 17:01:31-05:00,1
10.7717%2Fpeerj.610@Supplemental_Table_S2.pdf,102 kB,2014:03:05 17:03:23-05:00,1
10.7717%2Fpeerj.610@Supplemental_Table_S3.pdf,81 kB,2014:03:05 17:04:15-05:00,1
10.7717%2Fpeerj.613@ALL-Hypoxie-%-pdf.pdf,95 kB,2014:07:12 12:45:53+07:00,1
10.7717%2Fpeerj.613@ALL-SurgProcedures-Groups-pdf.pdf,95 kB,2014:07:12 12:50:41+07:00,1
10.7717%2Fpeerj.613@ALL-SurgProcedures-Particular-pdf.pdf,213 kB,2014:07:12 12:43:57+07:00,1
10.7717%2Fpeerj.626@Table_2.pdf,7.2 kB,2014:09:06 12:17:24+01:00,1
10.7717%2Fpeerj.635@Supplementary_data.pdf,61 kB,2014:09:11 01:24:47,1
10.7717%2Fpeerj.649@Figure_5.pdf,8.9 kB,2014:08:29 13:07:34Z,1
10.7717%2Fpeerj.651@variable_description.pdf,143 kB,2014:07:18 00:23:16-07:00,1
10.7717%2Fpeerj.658@Table_S2.pdf,201 kB,2014:06:19 18:09:01+01:00,1
10.7717%2Fpeerj.664@Figure_S1.pdf,427 kB,2014:02:10 10:14:38,1
10.7717%2Fpeerj.665@supplemental_s3_tether.pdf,164 kB,2014:10:14 13:33:34-05:00,1
10.7717%2Fpeerj.66@Supplementary Figure 3.pdf,257 kB,2012:11:28 15:16:19+09:00,1
10.7717%2Fpeerj.66@Supplementary Figure 4.pdf,260 kB,2012:11:28 15:22:08+09:00,1
10.7717%2Fpeerj.66@Supplementary figure 5.pdf,91 kB,2012:10:19 14:30:18+09:00,1
10.7717%2Fpeerj.679@Table_1.pdf,99 kB,2014:10:03 18:21:27+02:00,1
